ID,Categoría,Elemento,Descripción,Decisión
"two_cultures","Fusión Cultural Venezuela-España","Sección 'Dos culturas, un amor'","Explicar tradiciones que vivirán los invitados","Sí"
"hora_loca","Fusión Cultural Venezuela-España","La Hora Loca","Aviso de la tradición venezolana con máscaras y fiesta","Sí"
"traditions","Fusión Cultural Venezuela-España","Tradiciones compartidas","Las Arras, El Lazo, Los Padrinos","Sí"
"culture_map","Fusión Cultural Venezuela-España","Mapa 'De Caracas a Madrid'","Viaje ilustrado de las raíces de ambos","Sí"
"bilingual_phrases","Fusión Cultural Venezuela-España","'Aprende a hablar como nosotros'","Frases venezolanas y españolas divertidas","Sí"
"toto_page","El Rincón de Toto","Página dedicada a Toto","Bio, galería, 'cargo oficial'","Sí"
"toto_reviews","El Rincón de Toto","Reseñas del venue por Toto","'4/5 patas — buen césped, ardillas sospechosas'","Sí"
"toto_animated","El Rincón de Toto","Toto animado por la web","Sigue el scroll, asoma por las esquinas","Sí"
"toto_illustrations","El Rincón de Toto","Ilustraciones de Toto nupcial","Con pajarita, chistera, ramo, como minifigura Lego","Sí"
"toto_pawprints","El Rincón de Toto","Huellas de pata decorativas","Como bullets, separadores y elementos","Sí"
"password","Funcionalidades Técnicas","Web protegida con contraseña","Solo invitados acceden","Quizás"
"custom_domain","Funcionalidades Técnicas","Dominio propio","Ej: daniyangel.com (~15-20€/año)","Sí"
"qr_code","Funcionalidades Técnicas","QR code para invitación física","Enlace directo a la web/RSVP","Sí"
"responsive","Funcionalidades Técnicas","Diseño responsive / mobile-first","Perfecto en móvil, tablet y desktop","Sí"
"analytics","Funcionalidades Técnicas","Analytics de visitas","Saber quién ha visitado la web","Quizás"
"whatsapp","Funcionalidades Técnicas","Compartir por WhatsApp","Botón directo de envío","Sí"
"livestream","Funcionalidades Técnicas","Livestream para invitados remotos","Emisión en directo de la ceremonia","Quizás"
